R001 E1,E2,E3
R002 E7,E8,E9,E10,E11
R003 E15,E16
R004 F1,F2,F3,F4,F5
R005 E20
R006 F9,F10
R007 F14,F15,F16
R008 D1,D2,D3,D4,D5
R009 D9,D10
R010 G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
R011 D14,D15,D16
R012 G14,G15,G16,G17
R013 C1,C2,C3
R014 C7,C8,C9
R015 C13,C14,C15
R016 H1,H2,H3
R017 H7,H8,H9,H10,H11,H12,H13,H14,H15,H16
R018 B1,B2,B3,B4,B5
R019 C19,C20
R020 B9,B10,B11,B12,B13,B14,B15,B16,B17,B18
R021 I1,I2
R022 I6,I7,I8,I9
R023 I13,I14,I15,I16
R024 A1,A2,A3
R025 A7,A8,A9
R026 A13,A14,A15,A16,A17
R027 J1,J2,J3,J4,J5,J6,J7,J8,J9,J10
R028 J14,J15,J16,J17,J18
R029 F20,D20
R031 H20,I20
